Chrono;Time;MIDS Status;DLIP Saturation;TDH029;retard (ms)
71.5801;00:01:11.580;;;;993
71.5937;00:01:11.593;;;;1006
71.5941;00:01:11.594;;;;1006
71.5997;00:01:11.599;;;;1013
71.6002;00:01:11.600;;;;1013
71.6138;00:01:11.613;;;;1026
71.6142;00:01:11.614;;;;1026
71.6198;00:01:11.619;;;;1032
71.6202;00:01:11.620;;;;1032
71.6338;00:01:11.633;;;;1045
71.6342;00:01:11.634;;;;1045
71.6399;00:01:11.639;;;;1051
71.6403;00:01:11.640;;;;1051
71.6539;00:01:11.653;;;;1065
71.6543;00:01:11.654;;;;1064
71.6600;00:01:11.660;;;;1071
71.6604;00:01:11.660;;;;1070
71.6999;00:01:11.699;;;;1108
71.7002;00:01:11.700;;;;1108
71.7202;00:01:11.720;;;;1128
71.7206;00:01:11.720;;;;1128
71.7403;00:01:11.740;;;;1148
71.7407;00:01:11.740;;;;1148
71.7604;00:01:11.760;;;;1167
71.7608;00:01:11.760;;;;1167
71.7805;00:01:11.780;;;;1187
71.7809;00:01:11.780;;;;1187
71.8141;00:01:11.814;;;;1219
71.8142;00:01:11.814;;;;1219
71.8201;00:01:11.820;;;;1225
71.8202;00:01:11.820;;;;1225
71.8342;00:01:11.834;;;;1238
71.8343;00:01:11.834;;;;1238
71.8401;00:01:11.840;;;;1244
71.8402;00:01:11.840;;;;1244
71.8542;00:01:11.854;;;;1258
71.8543;00:01:11.854;;;;1258
71.8601;00:01:11.860;;;;1264
71.8602;00:01:11.860;;;;1264
71.8744;00:01:11.874;;;;1277
71.8744;00:01:11.874;;;;1277
71.8802;00:01:11.880;;;;1283
71.8803;00:01:11.880;;;;1283
71.8945;00:01:11.894;;;;1297
71.8946;00:01:11.894;;;;1297
71.9003;00:01:11.900;;;;1303
71.9003;00:01:11.900;;;;1303
71.9145;00:01:11.914;;;;1316
71.9147;00:01:11.914;;;;1316
71.9203;00:01:11.920;;;;1322
71.9204;00:01:11.920;;;;1322
71.9346;00:01:11.934;;;;1336
71.9348;00:01:11.934;;;;1336
71.9403;00:01:11.940;;;;1342
71.9404;00:01:11.940;;;;1342
71.9547;00:01:11.954;;;;1356
71.9548;00:01:11.954;;;;1356
71.9604;00:01:11.960;;;;1362
71.9605;00:01:11.960;;;;1362
71.9747;00:01:11.974;;;;1376
71.9748;00:01:11.974;;;;1376
71.9804;00:01:11.980;;;;1381
71.9805;00:01:11.980;;;;1381
72.0149;00:01:12.014;;;;1415
72.0149;00:01:12.014;;;;1415
72.0205;00:01:12.020;;;;1421
72.0205;00:01:12.020;;;;1421
72.0350;00:01:12.035;;;;1435
72.0350;00:01:12.035;;;;1435
72.0405;00:01:12.040;;;;1441
72.0406;00:01:12.040;;;;1441
72.0551;00:01:12.055;;;;1455
72.0551;00:01:12.055;;;;1455
72.0606;00:01:12.060;;;;1460
72.0606;00:01:12.060;;;;1460
72.0751;00:01:12.075;;;;1475
72.0752;00:01:12.075;;;;1475
72.0807;00:01:12.080;;;;1480
72.0808;00:01:12.080;;;;1480
72.0953;00:01:12.095;;;;1494
72.0954;00:01:12.095;;;;1494
72.1007;00:01:12.100;;;;1500
72.1008;00:01:12.100;;;;1500
72.1153;00:01:12.115;;;;1514
72.1154;00:01:12.115;;;;1514
72.1208;00:01:12.120;;;;1520
72.1209;00:01:12.120;;;;1520
72.1354;00:01:12.135;;;;1534
72.1355;00:01:12.135;;;;1534
72.1408;00:01:12.140;;;;1539
72.1409;00:01:12.140;;;;1539
72.1555;00:01:12.155;;;;1554
72.1556;00:01:12.155;;;;1554
72.1609;00:01:12.160;;;;1559
72.1610;00:01:12.161;;;;1559
72.1756;00:01:12.175;;;;1574
72.1757;00:01:12.175;;;;1574
72.1809;00:01:12.180;;;;1579
72.1810;00:01:12.181;;;;1579
72.1957;00:01:12.195;;;;1593
72.1958;00:01:12.195;;;;1593
72.2010;00:01:12.201;;;;1599
72.2011;00:01:12.201;;;;1599
72.2157;00:01:12.215;;;;1613
72.2158;00:01:12.215;;;;1613
72.2210;00:01:12.221;;;;1618
72.2211;00:01:12.221;;;;1618
72.2358;00:01:12.235;;;;1633
72.2359;00:01:12.235;;;;1633
72.2411;00:01:12.241;;;;1638
72.2412;00:01:12.241;;;;1638
72.2558;00:01:12.255;;;;1653
72.2559;00:01:12.255;;;;1652
72.2611;00:01:12.261;;;;1658
72.2611;00:01:12.261;;;;1658
72.2812;00:01:12.281;;;;1678
72.2812;00:01:12.281;;;;1678
72.2961;00:01:12.296;;;;1692
72.2961;00:01:12.296;;;;1692
72.3012;00:01:12.301;;;;1697
72.3013;00:01:12.301;;;;1697
72.3160;00:01:12.316;;;;1712
72.3161;00:01:12.316;;;;1712
72.3213;00:01:12.321;;;;1717
72.3213;00:01:12.321;;;;1717
72.3361;00:01:12.336;;;;1732
72.3362;00:01:12.336;;;;1731
72.3413;00:01:12.341;;;;1737
72.3414;00:01:12.341;;;;1737
72.3563;00:01:12.356;;;;1751
72.3564;00:01:12.356;;;;1751
72.3615;00:01:12.361;;;;1757
72.3616;00:01:12.361;;;;1757
72.3763;00:01:12.376;;;;1771
72.3764;00:01:12.376;;;;1771
72.3816;00:01:12.381;;;;1776
72.3817;00:01:12.381;;;;1776
72.3964;00:01:12.396;;;;1791
72.3965;00:01:12.396;;;;1791
72.4017;00:01:12.401;;;;1796
72.4017;00:01:12.401;;;;1796
72.4165;00:01:12.416;;;;1811
72.4166;00:01:12.416;;;;1811
72.4217;00:01:12.421;;;;1816
72.4218;00:01:12.421;;;;1816
72.4365;00:01:12.436;;;;1830
72.4366;00:01:12.436;;;;1830
72.4418;00:01:12.441;;;;1836
72.4419;00:01:12.441;;;;1836
72.4566;00:01:12.456;;;;1850
72.4567;00:01:12.456;;;;1850
72.4619;00:01:12.461;;;;1855
72.4620;00:01:12.462;;;;1855
72.4767;00:01:12.476;;;;1870
72.4768;00:01:12.476;;;;1870
72.4820;00:01:12.482;;;;1875
72.4821;00:01:12.482;;;;1875
72.4967;00:01:12.496;;;;1890
72.4968;00:01:12.496;;;;1889
72.5021;00:01:12.502;;;;1895
72.5022;00:01:12.502;;;;1895
72.5168;00:01:12.516;;;;1909
72.5169;00:01:12.516;;;;1909
72.5221;00:01:12.522;;;;1915
72.5222;00:01:12.522;;;;1914
72.5369;00:01:12.536;;;;1929
72.5370;00:01:12.537;;;;1929
72.5422;00:01:12.542;;;;1934
72.5423;00:01:12.542;;;;1934
72.5569;00:01:12.556;;;;1949
72.5570;00:01:12.557;;;;1949
72.5623;00:01:12.562;;;;1954
72.5624;00:01:12.562;;;;1954
72.5770;00:01:12.577;;;;1968
72.5771;00:01:12.577;;;;1968
72.5823;00:01:12.582;;;;1974
72.5824;00:01:12.582;;;;1974
72.5971;00:01:12.597;;;;1988
72.5972;00:01:12.597;;;;1988
72.6024;00:01:12.602;;;;1994
72.6025;00:01:12.602;;;;1993
72.6171;00:01:12.617;;;;2008
72.6173;00:01:12.617;;;;2008
72.6225;00:01:12.622;;;;2013
72.6226;00:01:12.622;;;;2013
72.6373;00:01:12.637;;;;2027
72.6373;00:01:12.637;;;;2027
72.6426;00:01:12.642;;;;2032
72.6427;00:01:12.642;;;;2032
72.6574;00:01:12.657;;;;2047
72.6575;00:01:12.657;;;;2047
72.6627;00:01:12.662;;;;2052
72.6628;00:01:12.662;;;;2052
72.6774;00:01:12.677;;;;2066
72.6776;00:01:12.677;;;;2066
72.6828;00:01:12.682;;;;2072
72.6828;00:01:12.682;;;;2072
72.6975;00:01:12.697;;;;2086
72.6976;00:01:12.697;;;;2086
72.7028;00:01:12.702;;;;2091
72.7029;00:01:12.702;;;;2091
72.7175;00:01:12.717;;;;2106
72.7177;00:01:12.717;;;;2106
72.7229;00:01:12.722;;;;2111
72.7230;00:01:12.723;;;;2111
72.7376;00:01:12.737;;;;2126
72.7377;00:01:12.737;;;;2125
72.7430;00:01:12.743;;;;2131
72.7431;00:01:12.743;;;;2131
72.7577;00:01:12.757;;;;2145
72.7578;00:01:12.757;;;;2145
72.7631;00:01:12.763;;;;2151
72.7632;00:01:12.763;;;;2151
72.7778;00:01:12.777;;;;2165
72.7779;00:01:12.777;;;;2165
72.7831;00:01:12.783;;;;2170
72.7832;00:01:12.783;;;;2170
72.7979;00:01:12.797;;;;2185
72.7979;00:01:12.797;;;;2185
72.8032;00:01:12.803;;;;2190
72.8033;00:01:12.803;;;;2190
72.8180;00:01:12.818;;;;2204
72.8181;00:01:12.818;;;;2204
72.8233;00:01:12.823;;;;2210
72.8234;00:01:12.823;;;;2210
72.8381;00:01:12.838;;;;2224
72.8381;00:01:12.838;;;;2224
72.8434;00:01:12.843;;;;2230
72.8435;00:01:12.843;;;;2230
72.8582;00:01:12.858;;;;2244
72.8583;00:01:12.858;;;;2244
72.8635;00:01:12.863;;;;2249
72.8636;00:01:12.863;;;;2249
72.8782;00:01:12.878;;;;2264
72.8783;00:01:12.878;;;;2068
72.8836;00:01:12.883;;;;2269
72.8837;00:01:12.883;;;;2073
72.8983;00:01:12.898;;;;2087
72.8984;00:01:12.898;;;;2087
72.9037;00:01:12.903;;;;2092
72.9037;00:01:12.903;;;;2092
72.9184;00:01:12.918;;;;2107
72.9185;00:01:12.918;;;;2107
72.9237;00:01:12.923;;;;2112
72.9238;00:01:12.923;;;;2112
72.9385;00:01:12.938;;;;2126
72.9386;00:01:12.938;;;;2126
72.9438;00:01:12.943;;;;2132
72.9439;00:01:12.943;;;;2132
72.9586;00:01:12.958;;;;2146
72.9586;00:01:12.958;;;;2146
72.9639;00:01:12.963;;;;2152
72.9640;00:01:12.964;;;;2152
72.9786;00:01:12.978;;;;2166
72.9787;00:01:12.978;;;;2166
72.9840;00:01:12.984;;;;2171
72.9841;00:01:12.984;;;;2171
72.9987;00:01:12.998;;;;2186
72.9988;00:01:12.998;;;;2186
73.0041;00:01:13.004;;;;2191
73.0041;00:01:13.004;;;;2191
73.0188;00:01:13.018;;;;2205
73.0189;00:01:13.018;;;;2205
73.0241;00:01:13.024;;;;2211
73.0242;00:01:13.024;;;;2211
73.0389;00:01:13.038;;;;2225
73.0390;00:01:13.039;;;;2225
73.0442;00:01:13.044;;;;2231
73.0443;00:01:13.044;;;;2231
73.0590;00:01:13.059;;;;2245
73.0591;00:01:13.059;;;;2245
73.0643;00:01:13.064;;;;2250
73.0644;00:01:13.064;;;;2250
73.0791;00:01:13.079;;;;2265
73.0791;00:01:13.079;;;;2265
73.0844;00:01:13.084;;;;2270
73.0845;00:01:13.084;;;;2270
73.0991;00:01:13.099;;;;2284
73.0993;00:01:13.099;;;;2284
73.1045;00:01:13.104;;;;2290
73.1045;00:01:13.104;;;;2290
73.1192;00:01:13.119;;;;2304
73.1193;00:01:13.119;;;;2304
73.1246;00:01:13.124;;;;2310
73.1246;00:01:13.124;;;;2310
73.1393;00:01:13.139;;;;2324
73.1394;00:01:13.139;;;;2324
73.1447;00:01:13.144;;;;2329
73.1447;00:01:13.144;;;;2329
73.1594;00:01:13.159;;;;2344
73.1595;00:01:13.159;;;;2344
73.1647;00:01:13.164;;;;2349
73.1648;00:01:13.164;;;;2349
82.3979;00:01:22.397;;;;8
82.3984;00:01:22.398;;;;8
82.4033;00:01:22.403;;;;7
82.4038;00:01:22.403;;;;7
82.4178;00:01:22.417;;;;9
82.4183;00:01:22.418;;;;9
82.4234;00:01:22.423;;;;7
82.4238;00:01:22.423;;;;7
82.4380;00:01:22.438;;;;9
82.4384;00:01:22.438;;;;9
82.4435;00:01:22.443;;;;7
82.4438;00:01:22.443;;;;7
82.4580;00:01:22.458;;;;9
82.4584;00:01:22.458;;;;9
82.4636;00:01:22.463;;;;7
82.4640;00:01:22.464;;;;7
82.4781;00:01:22.478;;;;9
82.4785;00:01:22.478;;;;9
82.4836;00:01:22.483;;;;7
82.4840;00:01:22.484;;;;8
82.4982;00:01:22.498;;;;9
82.4987;00:01:22.498;;;;9
82.5037;00:01:22.503;;;;7
82.5042;00:01:22.504;;;;7
82.5183;00:01:22.518;;;;9
82.5187;00:01:22.518;;;;9
82.5238;00:01:22.523;;;;7
82.5242;00:01:22.524;;;;7
82.5384;00:01:22.538;;;;9
82.5388;00:01:22.538;;;;9
82.5438;00:01:22.543;;;;7
82.5442;00:01:22.544;;;;7
82.5585;00:01:22.558;;;;9
82.5589;00:01:22.558;;;;9
82.5641;00:01:22.564;;;;7
82.5646;00:01:22.564;;;;7
82.5785;00:01:22.578;;;;9
82.5790;00:01:22.579;;;;9
82.5841;00:01:22.584;;;;7
82.5844;00:01:22.584;;;;7
82.5986;00:01:22.598;;;;9
82.5991;00:01:22.599;;;;9
82.6041;00:01:22.604;;;;7
82.6044;00:01:22.604;;;;7
82.6187;00:01:22.618;;;;9
82.6191;00:01:22.619;;;;9
82.6242;00:01:22.624;;;;7
82.6246;00:01:22.624;;;;8
82.6388;00:01:22.638;;;;9
82.6393;00:01:22.639;;;;9
82.6443;00:01:22.644;;;;7
82.6446;00:01:22.644;;;;7
82.6589;00:01:22.658;;;;9
82.6594;00:01:22.659;;;;9
82.6643;00:01:22.664;;;;7
82.6647;00:01:22.664;;;;7
82.6790;00:01:22.679;;;;9
82.6794;00:01:22.679;;;;9
82.6844;00:01:22.684;;;;7
82.6848;00:01:22.684;;;;7
82.6991;00:01:22.699;;;;9
82.6995;00:01:22.699;;;;9
82.7045;00:01:22.704;;;;7
82.7048;00:01:22.704;;;;7
82.7191;00:01:22.719;;;;9
82.7196;00:01:22.719;;;;9
82.7245;00:01:22.724;;;;7
82.7248;00:01:22.724;;;;7
82.7393;00:01:22.739;;;;9
82.7397;00:01:22.739;;;;9
82.7447;00:01:22.744;;;;7
82.7450;00:01:22.745;;;;7
82.7594;00:01:22.759;;;;9
82.7598;00:01:22.759;;;;9
82.7647;00:01:22.764;;;;8
82.7650;00:01:22.765;;;;7
82.7794;00:01:22.779;;;;9
82.7798;00:01:22.779;;;;9
82.7849;00:01:22.784;;;;7
82.7852;00:01:22.785;;;;7
82.7994;00:01:22.799;;;;8
82.7998;00:01:22.799;;;;8
82.8050;00:01:22.805;;;;8
82.8053;00:01:22.805;;;;8
82.8195;00:01:22.819;;;;9
82.8198;00:01:22.819;;;;9
82.8251;00:01:22.825;;;;8
82.8254;00:01:22.825;;;;8
82.8396;00:01:22.839;;;;9
82.8400;00:01:22.840;;;;9
82.8452;00:01:22.845;;;;8
82.8455;00:01:22.845;;;;7
82.8597;00:01:22.859;;;;9
82.8600;00:01:22.860;;;;9
82.8653;00:01:22.865;;;;8
82.8656;00:01:22.865;;;;8
82.8798;00:01:22.879;;;;9
82.8801;00:01:22.880;;;;9
82.8854;00:01:22.885;;;;8
82.8856;00:01:22.885;;;;8
82.8998;00:01:22.899;;;;9
82.9002;00:01:22.900;;;;9
82.9054;00:01:22.905;;;;8
82.9058;00:01:22.905;;;;8
82.9200;00:01:22.920;;;;9
82.9203;00:01:22.920;;;;9
82.9255;00:01:22.925;;;;8
82.9259;00:01:22.925;;;;8
82.9401;00:01:22.940;;;;9
82.9405;00:01:22.940;;;;9
82.9456;00:01:22.945;;;;8
82.9460;00:01:22.946;;;;8
82.9602;00:01:22.960;;;;9
82.9606;00:01:22.960;;;;9
82.9657;00:01:22.965;;;;8
82.9662;00:01:22.966;;;;8
82.9802;00:01:22.980;;;;9
82.9805;00:01:22.980;;;;9
82.9857;00:01:22.985;;;;8
82.9861;00:01:22.986;;;;8
83.0003;00:01:23.000;;;;9
83.0007;00:01:23.000;;;;9
83.0058;00:01:23.005;;;;8
83.0062;00:01:23.006;;;;8
83.0204;00:01:23.020;;;;9
83.0207;00:01:23.020;;;;9
83.0259;00:01:23.025;;;;8
83.0263;00:01:23.026;;;;8
83.0405;00:01:23.040;;;;9
83.0408;00:01:23.040;;;;9
83.0460;00:01:23.046;;;;8
83.0464;00:01:23.046;;;;8
83.0605;00:01:23.060;;;;9
83.0609;00:01:23.060;;;;9
83.0661;00:01:23.066;;;;8
83.0665;00:01:23.066;;;;8
83.0806;00:01:23.080;;;;9
83.0810;00:01:23.081;;;;8
83.0862;00:01:23.086;;;;7
83.0865;00:01:23.086;;;;7
83.1007;00:01:23.100;;;;9
83.1010;00:01:23.101;;;;9
83.1063;00:01:23.106;;;;8
83.1067;00:01:23.106;;;;8
83.1208;00:01:23.120;;;;9
83.1212;00:01:23.121;;;;9
83.1264;00:01:23.126;;;;8
83.1268;00:01:23.126;;;;8
83.1409;00:01:23.140;;;;9
83.1412;00:01:23.141;;;;9
83.1465;00:01:23.146;;;;8
83.1469;00:01:23.146;;;;8
83.1610;00:01:23.161;;;;9
83.1614;00:01:23.161;;;;9
83.1666;00:01:23.166;;;;8
83.1670;00:01:23.167;;;;8
83.1811;00:01:23.181;;;;9
83.1814;00:01:23.181;;;;9
83.1866;00:01:23.186;;;;8
83.1871;00:01:23.187;;;;8
83.2012;00:01:23.201;;;;9
83.2015;00:01:23.201;;;;9
83.2066;00:01:23.206;;;;8
83.2069;00:01:23.206;;;;8
83.2212;00:01:23.221;;;;9
83.2217;00:01:23.221;;;;9
83.2267;00:01:23.226;;;;8
83.2270;00:01:23.227;;;;8
83.2414;00:01:23.241;;;;9
83.2418;00:01:23.241;;;;9
83.2468;00:01:23.246;;;;8
83.2472;00:01:23.247;;;;8
83.2614;00:01:23.261;;;;9
83.2618;00:01:23.261;;;;9
83.2669;00:01:23.266;;;;8
83.2673;00:01:23.267;;;;8
83.2815;00:01:23.281;;;;9
