write_delta_time;write_delta_data;write_debit
0.00710000000000122;47;13239.436619716
0.000799999999998136;47;117500.000000274
0.00710000000000122;47;13239.436619716
0.00250000000000128;47;37599.9999999808
0.00249999999999773;18;14400.0000000131
0.00270000000000081;18;13333.3333333293
0.00250000000000128;18;14399.9999999926
0.00249999999999773;18;14400.0000000131
0.00939999999999941;47;10000.0000000006
0.00110000000000099;47;85454.5454544686
0.00779999999999959;47;12051.2820512827
0.0564999999999998;47;1663.7168141593
0.00300000000000011;18;11999.9999999995
0.00270000000000081;18;13333.3333333293
0.00300000000000011;18;11999.9999999995
0.00300000000000011;18;11999.9999999995
0.00270000000000081;47;34814.8148148043
0.00270000000000081;47;34814.8148148043
0.00289999999999679;47;32413.7931034841
0.00280000000000058;47;33571.4285714216
0.00800000000000267;18;4499.9999999985
0.00249999999999773;18;14400.0000000131
0.00250000000000128;18;14399.9999999926
0.00239999999999796;18;15000.0000000128
0.00260000000000105;47;36153.8461538316
0.00250000000000128;47;37599.9999999808
0.00329999999999941;47;28484.8484848535
0.00359999999999872;47;26111.1111111204
0.00280000000000058;18;12857.1428571402
0.0113000000000021;18;3185.84070796401
0.0286999999999971;18;1254.35540069699
0.00330000000000297;18;10909.0909090811
0.00359999999999872;47;26111.1111111204
0.00260000000000105;47;36153.8461538316
0.00259999999999749;47;36153.846153881
0.00260000000000105;47;36153.8461538316
0.00280000000000058;18;12857.1428571402
0.00860000000000127;18;4186.04651162729
0.00279999999999703;18;12857.1428571565
0.00250000000000128;18;14399.9999999926
0.00270000000000081;47;34814.8148148043
0.00499999999999901;47;18800.0000000037
0.00329999999999941;47;28484.8484848535
0.00329999999999941;47;28484.8484848535
